Starting simulation with mode=ttft, load_scenario=high...
[224/235] User 6 | target_len=5017 | ttft = 0.4920
[225/235] User 7 | target_len=137 | ttft = 0.0430
[226/235] User 7 | target_len=5016 | ttft = 0.4906
[227/235] User 6 | target_len=1524 | ttft = 1.4910
[220/235] User 7 | target_len=13951 | ttft = 28.2311
[222/235] User 8 | target_len=13957 | ttft = 30.4601
[232/235] User 6 | target_len=1516 | ttft = 0.6116
[230/235] User 7 | target_len=4982 | ttft = 12.9599
[231/235] User 7 | target_len=5145 | ttft = 12.1053
[229/235] User 1 | target_len=14060 | ttft = 21.9395
[235/235] User 1 | target_len=83 | ttft = 0.8142
[233/235] User 7 | target_len=4909 | ttft = 9.0715
[234/235] User 7 | target_len=1469 | ttft = 9.0771
[228/235] User 6 | target_len=14109 | ttft = 44.7134
