[174/222] User 4 | target_len=4977 | tpot = 24.2291
[175/222] User 8 | target_len=13962 | tpot = 26.0331
[177/222] User 7 | target_len=5009 | tpot = 39.0887
[176/222] User 6 | target_len=114 | tpot = 39.0931
[179/222] User 3 | target_len=14125 | tpot = 24.1019
[178/222] User 6 | target_len=1475 | tpot = 24.1050
[181/222] User 6 | target_len=4966 | tpot = 31.7755
[180/222] User 2 | target_len=5028 | tpot = 27.1790
[183/222] User 6 | target_len=5029 | tpot = 34.3820
[184/222] User 3 | target_len=13952 | tpot = 23.2564
[185/222] User 2 | target_len=5000 | tpot = 23.2580
[186/222] User 3 | target_len=13797 | tpot = 36.4027
[189/222] User 5 | target_len=1554 | tpot = 27.5464
[188/222] User 4 | target_len=107 | tpot = 26.1415
[192/222] User 3 | target_len=106 | tpot = 45.1969
[190/222] User 3 | target_len=14017 | tpot = 25.9635
[191/222] User 2 | target_len=4979 | tpot = 45.2009
[182/222] User 4 | target_len=14090 | tpot = 13.7681
[187/222] User 4 | target_len=4899 | tpot = 16.8724
[194/222] User 1 | target_len=5051 | tpot = 33.2599
[195/222] User 2 | target_len=4995 | tpot = 34.8681
[193/222] User 5 | target_len=4962 | tpot = 23.6754
[198/222] User 4 | target_len=1509 | tpot = 42.6760
[196/222] User 4 | target_len=99 | tpot = 42.6625
[197/222] User 4 | target_len=5035 | tpot = 42.6674
[200/222] User 2 | target_len=1491 | tpot = 41.0135
[199/222] User 7 | target_len=14217 | tpot = 24.0515
[204/222] User 2 | target_len=1385 | tpot = 43.1712
[201/222] User 7 | target_len=14178 | tpot = 43.1754
[206/222] User 7 | target_len=4927 | tpot = 22.5263
[202/222] User 7 | target_len=14117 | tpot = 22.5240
[205/222] User 4 | target_len=5045 | tpot = 21.2583
[207/222] User 6 | target_len=5027 | tpot = 21.9594
[210/222] User 7 | target_len=1448 | tpot = 22.6886
[208/222] User 7 | target_len=14001 | tpot = 21.2509
[209/222] User 6 | target_len=13974 | tpot = 21.4674
[212/222] User 6 | target_len=14106 | tpot = 21.3170
[214/222] User 6 | target_len=1505 | tpot = 29.0763
[213/222] User 6 | target_len=1484 | tpot = 21.3590
[211/222] User 6 | target_len=13884 | tpot = 20.2157
[215/222] User 7 | target_len=4958 | tpot = 22.4828
[217/222] User 7 | target_len=14052 | tpot = 22.7922
[219/222] User 6 | target_len=5123 | tpot = 43.9447
[218/222] User 7 | target_len=1514 | tpot = 39.4998
[220/222] User 7 | target_len=5066 | tpot = 43.9516
[216/222] User 7 | target_len=4947 | tpot = 18.9205
[203/222] User 4 | target_len=13907 | tpot = 7.9445
[222/222] User 7 | target_len=4976 | tpot = 42.8830
[221/222] User 7 | target_len=14066 | tpot = 24.2945
