Starting simulation with mode=tpot, load_scenario=high...
[232/269] User 5 | target_len=5052 | tpot = 36.2623
[233/269] User 3 | target_len=1524 | tpot = 29.1918
[227/269] User 5 | target_len=4979 | tpot = 15.1606
[234/269] User 7 | target_len=5034 | tpot = 37.5266
[235/269] User 8 | target_len=13975 | tpot = 39.5857
[237/269] User 6 | target_len=4911 | tpot = 25.6998
[240/269] User 8 | target_len=115 | tpot = 25.2340
[236/269] User 8 | target_len=13881 | tpot = 22.9374
[239/269] User 6 | target_len=107 | tpot = 24.4715
[241/269] User 3 | target_len=14002 | tpot = 34.8709
[238/269] User 7 | target_len=13992 | tpot = 15.9253
[243/269] User 3 | target_len=4932 | tpot = 21.6274
[242/269] User 3 | target_len=13962 | tpot = 21.6251
[244/269] User 3 | target_len=4943 | tpot = 24.4716
[246/269] User 5 | target_len=14122 | tpot = 23.5387
[245/269] User 7 | target_len=5031 | tpot = 19.4518
[247/269] User 6 | target_len=13939 | tpot = 19.7039
[249/269] User 6 | target_len=4987 | tpot = 21.2972
[248/269] User 7 | target_len=14051 | tpot = 15.9293
[251/269] User 3 | target_len=5098 | tpot = 22.7840
[250/269] User 5 | target_len=14039 | tpot = 18.7508
[253/269] User 5 | target_len=111 | tpot = 17.0992
[254/269] User 6 | target_len=1488 | tpot = 23.9818
[252/269] User 5 | target_len=1442 | tpot = 18.6465
[255/269] User 6 | target_len=13867 | tpot = 26.3062
[257/269] User 5 | target_len=4920 | tpot = 25.9330
[256/269] User 5 | target_len=13807 | tpot = 25.9303
[258/269] User 5 | target_len=1556 | tpot = 25.7544
[259/269] User 6 | target_len=1439 | tpot = 31.7725
[260/269] User 6 | target_len=14053 | tpot = 34.4807
[262/269] User 5 | target_len=1465 | tpot = 25.9660
[261/269] User 3 | target_len=13927 | tpot = 25.9633
[267/269] User 3 | target_len=96 | tpot = 38.9051
[263/269] User 5 | target_len=13952 | tpot = 21.4204
[265/269] User 3 | target_len=1462 | tpot = 31.4698
[264/269] User 3 | target_len=1483 | tpot = 31.4665
[266/269] User 3 | target_len=5050 | tpot = 29.2348
[268/269] User 3 | target_len=13942 | tpot = 27.0452
[269/269] User 3 | target_len=5010 | tpot = 37.0853
