Starting simulation with mode=ttft, load_scenario=high...
[154/239] User 7 | target_len=13888 | ttft = 40.6815
[155/239] User 7 | target_len=5046 | ttft = 30.7626
[157/239] User 7 | target_len=1465 | ttft = 29.4248
[156/239] User 7 | target_len=5005 | ttft = 34.9018
[158/239] User 4 | target_len=13832 | ttft = 25.9813
[159/239] User 1 | target_len=5049 | ttft = 25.4256
[160/239] User 2 | target_len=5008 | ttft = 21.4198
[161/239] User 2 | target_len=1550 | ttft = 21.4161
[163/239] User 8 | target_len=102 | ttft = 20.3412
[162/239] User 7 | target_len=14063 | ttft = 20.3442
[166/239] User 4 | target_len=4947 | ttft = 5.7180
[164/239] User 7 | target_len=14088 | ttft = 21.2569
[165/239] User 7 | target_len=1445 | ttft = 21.2514
[167/239] User 6 | target_len=1513 | ttft = 2.1138
[168/239] User 3 | target_len=14028 | ttft = 21.9562
[173/239] User 6 | target_len=1497 | ttft = 2.0935
[170/239] User 8 | target_len=1511 | ttft = 9.2005
[171/239] User 4 | target_len=4911 | ttft = 5.6608
[169/239] User 6 | target_len=14068 | ttft = 26.1973
[174/239] User 3 | target_len=4971 | ttft = 19.1500
[176/239] User 7 | target_len=4935 | ttft = 6.1879
[172/239] User 2 | target_len=14213 | ttft = 24.8624
[175/239] User 6 | target_len=115 | ttft = 20.4778
[178/239] User 6 | target_len=1552 | ttft = 3.3399
[177/239] User 7 | target_len=14233 | ttft = 3.3434
[180/239] User 4 | target_len=86 | ttft = 20.4862
[179/239] User 7 | target_len=1491 | ttft = 20.4905
[181/239] User 6 | target_len=1463 | ttft = 6.2103
[184/239] User 1 | target_len=1481 | ttft = 1.8129
[182/239] User 7 | target_len=1466 | ttft = 1.8089
[183/239] User 4 | target_len=13906 | ttft = 1.8168
[186/239] User 1 | target_len=100 | ttft = 0.4979
[185/239] User 1 | target_len=5063 | ttft = 1.8063
[191/239] User 1 | target_len=5065 | ttft = 2.4319
[188/239] User 1 | target_len=4916 | ttft = 4.4775
[189/239] User 4 | target_len=1507 | ttft = 2.4373
[187/239] User 2 | target_len=13983 | ttft = 5.2157
[190/239] User 4 | target_len=14295 | ttft = 25.4400
[192/239] User 7 | target_len=1580 | ttft = 25.4347
[193/239] User 7 | target_len=13859 | ttft = 15.3065
[194/239] User 3 | target_len=4884 | ttft = 15.4864
[197/239] User 2 | target_len=88 | ttft = 25.3591
[198/239] User 4 | target_len=92 | ttft = 25.3606
[196/239] User 7 | target_len=1481 | ttft = 25.3544
[200/239] User 2 | target_len=13937 | ttft = 2.8900
[195/239] User 1 | target_len=13986 | ttft = 25.3652
[199/239] User 7 | target_len=13982 | ttft = 26.2221
[202/239] User 1 | target_len=5033 | ttft = 26.2164
[201/239] User 4 | target_len=13933 | ttft = 26.2099
[203/239] User 2 | target_len=5059 | ttft = 7.5177
[208/239] User 4 | target_len=103 | ttft = 3.1168
[209/239] User 8 | target_len=1504 | ttft = 3.1114
[207/239] User 4 | target_len=14057 | ttft = 27.7266
[205/239] User 3 | target_len=14047 | ttft = 27.7336
[206/239] User 4 | target_len=1582 | ttft = 27.7299
[204/239] User 4 | target_len=4886 | ttft = 16.5533
[211/239] User 3 | target_len=1487 | ttft = 13.4920
[212/239] User 3 | target_len=4937 | ttft = 6.7827
[213/239] User 8 | target_len=5127 | ttft = 2.6634
[210/239] User 8 | target_len=14097 | ttft = 25.9424
[215/239] User 7 | target_len=1533 | ttft = 2.6577
[218/239] User 7 | target_len=1501 | ttft = 3.7482
[216/239] User 2 | target_len=1499 | ttft = 24.8228
[214/239] User 7 | target_len=14215 | ttft = 24.8286
[219/239] User 8 | target_len=1464 | ttft = 3.7450
[221/239] User 2 | target_len=1556 | ttft = 3.7417
[217/239] User 3 | target_len=5049 | ttft = 14.1798
[226/239] User 1 | target_len=14226 | ttft = 2.7449
[220/239] User 8 | target_len=14158 | ttft = 25.9422
[224/239] User 7 | target_len=13986 | ttft = 25.8484
[227/239] User 7 | target_len=14215 | ttft = 25.8445
[223/239] User 8 | target_len=4982 | ttft = 25.8391
[222/239] User 8 | target_len=13988 | ttft = 3.7322
[225/239] User 8 | target_len=4996 | ttft = 48.9326
[229/239] User 2 | target_len=13838 | ttft = 26.3337
[228/239] User 2 | target_len=1550 | ttft = 48.9257
[230/239] User 7 | target_len=4979 | ttft = 26.3291
[231/239] User 8 | target_len=1484 | ttft = 20.6635
[233/239] User 2 | target_len=1474 | ttft = 20.6662
[232/239] User 8 | target_len=5020 | ttft = 20.6691
[234/239] User 2 | target_len=14134 | ttft = 5.5811
[235/239] User 1 | target_len=5135 | ttft = 2.3157
[236/239] User 1 | target_len=4999 | ttft = 2.3107
[239/239] User 1 | target_len=93 | ttft = 4.7643
[238/239] User 1 | target_len=1441 | ttft = 7.1931
[237/239] User 1 | target_len=14073 | ttft = 24.6297
